GexfID,Title,IMDB_id,ReleaseDate,Slug,WeightedDegree,Modularity,PathLength,Diameter,ClusteringCoefficient,ConnectedComponents,Density,Edges,Characters,rating
792,Sunset Blvd.,tt0043014,1950,Sunset-Blvd.,6.1,0.391,2.175,4,0.674,6,0.096,115,26,8.5
793,Sunshine Cleaning,tt0862846,2008,Sunshine-Cleaning,7.806,0.407,2.195,4,0.623,2,0.127,166,30,6.9
794,Superbad,tt0829482,2007,Superbad,10.595,0.371,2.039,3,0.803,1,0.15,260,35,7.6
797,The Surfer King,tt0418206,2006,The-Surfer-King,8.581,0.286,2.277,4,0.429,1,0.135,183,29,3.9
798,Suspect Zero,tt0324127,2004,Suspect-Zero,4.485,0.342,1.974,4,0.385,7,0.095,89,31,5.9
799,The Sweet Hereafter,tt0120255,1997,The-Sweet-Hereafter,8.556,0.258,1.843,3,0.65,1,0.248,104,18,7.7
800,Sweet Smell of Success,tt0051036,1957,Sweet-Smell-of-Success,8.108,0.408,1.967,3,0.77,1,0.167,170,37,8.2
801,Swingers,tt0117802,1996,Swingers,12.231,0.238,1.696,3,0.75,4,0.24,190,23,7.4
802,Swordfish,tt0244244,2001,Swordfish,5.455,0.446,2.483,6,0.57,5,0.098,116,33,6.5
803,"Synecdoche, New York",tt0383028,2008,"Synecdoche,-New-York",10.857,0.426,2.016,4,0.634,10,0.079,235,49,7.6
804,Taking Lives,tt0364045,2004,Taking-Lives,6.343,0.337,2.199,4,0.427,6,0.094,147,34,6.2
805,Taking Sides,tt0260414,2001,Taking-Sides,6.857,0.23,1.819,3,0.681,3,0.214,94,21,7.2
806,The Talented Mr. Ripley,tt0134119,1999,The-Talented-Mr.-Ripley,9.043,0.306,1.866,3,0.647,2,0.166,145,23,7.3
808,Taxi Driver,tt0075314,1976,Taxi-Driver,6.833,0.32,1.759,2,0.783,2,0.221,96,23,8.3
809,The Terminator,tt0088247,1984,The-Terminator,3.854,0.514,2.598,5,0.445,9,0.065,98,41,8
810,Terminator 2: Judgment Day,tt0103064,1991,Terminator-2:-Judgment-Day,6.839,0.285,2.28,5,0.546,6,0.123,139,29,8.5
811,Terminator Salvation,tt0438488,2009,Terminator-Salvation,9.2,0.397,1.968,3,0.653,5,0.165,185,30,6.6
815,The Thing,tt0084787,1982,The-Thing,35.636,0.085,1.433,3,0.794,2,0.545,486,14,8.2
816,Thirteen Days,tt0146309,2000,Thirteen-Days,11.593,0.291,2.281,5,0.569,5,0.109,415,51,7.3
818,Three Kings,tt0120188,1999,Three-Kings,15.268,0.298,1.878,3,0.72,2,0.215,378,40,7.1
819,Kings of the Turf,tt0033788,1941,Kings-of-the-Turf,13.833,0.117,1.556,2,0.474,4,0.242,118,8,5.4
820,3 Men and a Baby,tt0094137,1987,3-Men-and-a-Baby,12,0.331,2.026,4,0.677,1,0.168,314,43,5.9
821,The Three Musketeers,tt0108333,1993,The-Three-Musketeers,8.737,0.274,1.946,4,0.668,7,0.171,207,37,5.8
822,Thunderheart,tt0105585,1992,Thunderheart,10.571,0.307,1.805,3,0.814,3,0.189,218,36,6.8
824,Timber Falls,tt0857295,2007,Timber-Falls,11.8,0.069,1.333,2,0.674,2,0.533,83,10,5.3
825,The Time Machine,tt0268695,2002,The-Time-Machine,7.667,0.263,1.667,2,0.6,1,0.333,56,11,5.9
826,Tin Cup,tt0117918,1996,Tin-Cup,15.371,0.24,1.857,3,0.744,2,0.213,315,32,6.3
827,The Day After Tomorrow,tt0319262,2004,The-Day-After-Tomorrow,13.333,0.277,1.994,3,0.673,1,0.199,343,42,6.4
828,Titanic,tt0120338,1997,Titanic,12.306,0.343,2.198,4,0.723,3,0.117,547,72,7.7
829,TMNT,tt0453556,2007,TMNT,20,0.22,1.725,4,0.63,6,0.244,551,41,6.3
830,To Sleep with Anger,tt0100791,1990,To-Sleep-with-Anger,12.378,0.213,1.911,3,0.597,6,0.176,304,36,7.1
831,Tombstone,tt0108358,1993,Tombstone,23.875,0.203,1.802,4,0.758,1,0.299,707,45,7.8
832,Tomorrow Never Dies,tt0120347,1997,Tomorrow-Never-Dies,7.089,0.532,2.461,4,0.743,4,0.072,316,77,6.5
833,Top Gun,tt0092099,1986,Top-Gun,14.333,0.267,1.749,3,0.737,3,0.265,310,34,6.9
834,Total Recall,tt0100802,1990,Total-Recall,5.304,0.442,2.22,4,0.546,6,0.082,146,45,7.5
835,The Tourist,tt1243957,2010,The-Tourist,10.762,0.254,1.877,3,0.612,3,0.219,153,21,6
836,Toy Story,tt0114709,1995,Toy-Story,20.4,0.342,1.816,4,0.787,2,0.262,526,39,8.3
837,Traffic,tt0181865,2000,Traffic,5.023,0.698,3.543,7,0.545,7,0.044,231,80,7.6
839,Trainspotting,tt0117951,1996,Trainspotting,9.727,0.215,1.9,3,0.589,1,0.26,142,22,8.2
840,The Transformers: The Movie,tt0092106,1986,The-Transformers:-The-Movie,25.152,0.214,1.809,4,0.759,2,0.288,695,53,7.3
841,Tremors,tt0100814,1990,Tremors,29.368,0.119,1.423,2,0.749,2,0.462,413,17,7.1
843,TRON,tt0084827,1982,TRON,11.032,0.274,1.807,4,0.682,3,0.252,192,26,6.8
844,Tropic Thunder,tt0942385,2008,Tropic-Thunder,14.826,0.276,2.034,5,0.72,2,0.213,293,29,7
846,True Lies,tt0111503,1994,True-Lies,9.086,0.412,2.133,4,0.601,4,0.109,216,29,7.2
847,True Romance,tt0108399,1993,True-Romance,16.591,0.182,1.895,4,0.706,1,0.265,313,37,8
848,The Truman Show,tt0120382,1998,The-Truman-Show,5.286,0.515,2.215,4,0.59,7,0.063,183,55,8.1
849,Twilight,tt1099212,2008,Twilight,15.529,0.28,1.727,3,0.706,4,0.241,323,28,5.2
